Beers,Type,Alcohol Content,Brewery,Municipality,Province,Parent,Rating,Check-ins,Description,Latitude,Longitude
Augustijn Blond,Abbaye,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,70501,Unknown,53.7435722,-0.3394758
Augustijn Donker,Abbaye,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,21316,Unknown,53.7435722,-0.3394758
Augustijn Grand Cru,"Abbaye, Triple",0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,34571,Unknown,53.7435722,-0.3394758
L'Aurore de la Salme,Brune,0,La Vieille Salme,Vielsalm,Luxembourg,Unknown,3,2774,Unknown,50.2842154,5.9162783
La fournil,Ambrée,0,Brasserie de l'abbaye du Val-Dieu,Aubel,Liege,Unknown,0,0,Unknown,50.69760135,5.804543928689291
Authentique 621,Brune,0,Authentique Brasserie,Bernissart,Hainaut,Unknown,3,301,"Unbelievably dirty aroma of rotting grains, dirty dish rags and dry pet food.
Sweet and sour in the mouth with strong note of browned banana.
Low acid, low bitterness leaves it flabby on the tongue.
Carbonation is loose and bracing.",50.4991756,3.6737823
Authentique Ambrée,Ambrée,0,Authentique Brasserie,Bernissart,Hainaut,Unknown,3,225,Unknown,50.4991756,3.6737823
Authentique Blonde,Blonde,0,Authentique Brasserie,Bernissart,Hainaut,Unknown,3,353,Unknown,50.4991756,3.6737823
Authentique Blonde de Noël,Bière de Noël,0,Authentique Brasserie,Bernissart,Hainaut,Unknown,3,91,Unknown,50.4991756,3.6737823
Authentique Triple,Triple,0,Authentique Brasserie,Bernissart,Hainaut,Unknown,3,565,Unknown,50.4991756,3.6737823
L'Autruche,Blonde,0,Brasserie de Silenrieux,Cerfontaine,Namur,Unknown,0,0,Unknown,50.2231657,4.4120879
Averbode,"Blonde, Fermentation haute",0,Brasserie Huyghe,Melle,East Flanders,Unknown,3,101084,"Averbode is een blond abdijbier dat gedryhopped is en met nagisting op fles.Het heeft een goudgele kleur met een fijne schuimkraag. Met geurige aroma's van bloemen, groene appels, zoetigheid en hop. Door de vier soorten hop komt er een hoppige smaak naar voren. Het palet is volmondig, moutzoetig en met een aangenaam hopkarakter. De afdronk is fris, vol en bitter.",44.5620476,7.32049
BAB 401,Brune,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,3,160,Unknown,45.799734,11.7941917
Babylone,Fermentation haute,0,Brussels Beer Project,Bruxelles,Brussels,Unknown,3,287,Unknown,50.8272547,4.3633948
Bacchus,Vieille brune,0,Brasserie Van Honsebrouck,Ingelmunster,West Flanders,Unknown,0,0,Unknown,50.9202812,3.2549979
Bacchus Frambozenbière,Fruitée,0,Brasserie Van Honsebrouck,Ingelmunster,West Flanders,Unknown,3,40289,Bacchus Raspberry Beer is brewed on a Bacchus Flemish Old Brown base. This raspberry beer surprises with a slight touch of caramel from the roasted malt. Bacchus Raspberry Beer offers a beautiful balance between the aromas of sweet raspberries and the sweet and sour of the base bier.,50.9202812,3.2549979
Bacchus Kriekenbière,Fruitée,0,Brasserie Van Honsebrouck,Ingelmunster,West Flanders,Unknown,3,37264,Bacchus Cherry Beer is brewed using Bacchus Flemish Old Brown as a base. This cherry beer surprises with a slight touch of caramel from the roasted malt. Bacchus Cherry Beer offers a beautiful balance between the aromas of ripe cherries and the sweet and sour of the base beer.,50.9202812,3.2549979
Balthazar,Bière de Noël,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,0,0,Unknown,50.78285655,3.375586376478683
Barbãr,"Blonde, Bière au miel",0,Brasserie Lefebvre,Rebecq,Walloon Brabant,Unknown,3,165426,"Deep blonde in colour, Barbãr’s creamy head gives off a powerful aroma, unobtrusively scented with honey and accompanied by a bouquet of floral, spicy and citrus notes. The use of soft wheat gives a rounded attack, without heaviness. The sugar provided by the honey during the wort boiling undergoes fermentation and is converted into alcohol. Consequently, this is a soft but not sweet beer, with a touch of acidity which gives it freshness. The finish is full of finesse and without a bitter aftertaste. An original and distinctive beer whose distant origins go back to the “cervoise” brewed by our ancestors who called it “Warrior’s rest”.",50.6749419,4.152957560369655
Barbãr Winter Bok,"Bock, Bière au miel",0,Brasserie Lefebvre,Rebecq,Walloon Brabant,Unknown,0,0,Unknown,50.6749419,4.152957560369655
Barbe d'Or (Goudbaard),Blonde,0,Brasserie Verhaeghe,Vichte,West Flanders,Unknown,0,0,Unknown,50.8354873,3.4048906
Barbe Noire (Zwartbaard),Stout,0,Brasserie Verhaeghe,Vichte,West Flanders,Unknown,0,0,Unknown,50.8354873,3.4048906
Barbe Rouge (Roodbaard),Ambrée,0,Brasserie Verhaeghe,Vichte,West Flanders,Unknown,0,0,Unknown,50.8354873,3.4048906
La Barbiot Ambrée,Fermentation haute,0,Brasserie La Barbiot,Le Rœulx,Hainaut,Unknown,0,9,Unknown,50.504794649999994,4.091488261324537
La Barbiot Blonde,Fermentation haute,0,Brasserie La Barbiot,Le Rœulx,Hainaut,Unknown,0,7,Unknown,50.504794649999994,4.091488261324537
Bas,Blonde dorée,0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,0,0,Unknown,51.1152543,3.8160967304356808
Basèque,Blonde,0,Brasserie des Carrières,Belœil,Hainaut,Unknown,0,0,Unknown,50.5208549,3.6468087298900302
Basilius,Ambrée,0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,3,3249,Unknown,51.1152543,3.8160967304356808
Bastogne Pale Ale,IPA,0,Brasserie Minne,Somme-Leuze,Namur,Unknown,3,6872,Unknown,50.313722850000005,5.32122569803292
Bavaro,"Blonde, Fermentation basse",0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,2,192,Unknown,50.9808426,4.552216324874748
Bavik Blond,Bière de table,0,Brasserie De Brabandere,Harelbeke,West Flanders,Unknown,0,0,Unknown,50.857512,3.3113699
Bavik Faro,Bière de table,0,Brasserie De Brabandere,Harelbeke,West Flanders,Unknown,0,0,Unknown,50.857512,3.3113699
Bavik Pony-Stout,Stout,0,Brasserie De Brabandere,Harelbeke,West Flanders,Unknown,0,0,Unknown,50.857512,3.3113699
Bavik Premium Pils,Pils,0,Brasserie De Brabandere,Harelbeke,West Flanders,Unknown,0,0,Unknown,50.857512,3.3113699
Bavik Triple Bock,Bock,0,Brasserie De Brabandere,Harelbeke,West Flanders,Unknown,0,0,Unknown,50.857512,3.3113699
Bêchette,Fruitée,0,Brasserie Grain d'Orge,Plombières,Liege,Unknown,0,0,Unknown,50.7377318,5.9611134
Beer for Life,Blonde,0,Brasserie Dilewyns,Termonde,East Flanders,Unknown,0,0,Unknown,51.0312293,4.098112
Beernems Berenbière,Blonde,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,0,0,Unknown,53.7435722,-0.3394758
Beersel Bio,Blonde,0,Gueuzestekerij 3 Fonteinen,Beersel,Flemish Brabant,Unknown,3,17,Unknown,50.7478412,4.30652710740871
Beersel Blond,Blonde,0,Gueuzestekerij 3 Fonteinen,Beersel,Flemish Brabant,Unknown,3,5387,Unknown,50.7478412,4.30652710740871
Beersel Lager,Pils,0,Gueuzestekerij 3 Fonteinen,Beersel,Flemish Brabant,Unknown,3,3577,Unknown,50.7478412,4.30652710740871
Bel Pils,Pils,0,Brasserie Duvel,Puurs,Antwerp,Duvel Moortgat,2,13254,Unknown,51.0772325,4.2828146
Belgian Angel Stout,Stout,0,Brasserie Brootcoorens,Erquelinnes,Hainaut,Unknown,0,0,Unknown,50.3070077,4.1069398
Belgian Framboises,Fruitée,0,Brasserie Lefebvre,Rebecq,Walloon Brabant,Unknown,3,658,"Using the red fruit from local growers, the raspberry flavoured beer appeared on the market in the 1980s.

Belgian Framboises is a near relative of cherry beer. It is certainly beer but not obviously so",50.6749419,4.152957560369655
Belgian Kriek,Fruitée,0,Brasserie Lefebvre,Rebecq,Walloon Brabant,Unknown,0,0,Unknown,50.6749419,4.152957560369655
Belgian Pêches,Fruitée,0,Brasserie Lefebvre,Rebecq,Walloon Brabant,Unknown,3,588,A fun melange of beer and peach juice. A harmonious mixture which produces a symphony of flavours and aromas.,50.6749419,4.152957560369655
Belgica IPA,India Pale Ale,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,3,312,Unknown,45.799734,11.7941917
Belgoo Arboo,"Triple, Ambrée",0,Brasserie La Binchoise,Binche,Hainaut,Unknown,0,0,Unknown,50.4263301,4.126294247491478
Belgoo Magus,Blonde,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,0,0,Unknown,50.4263301,4.126294247491478
Belgoo Maxus,Blonde dorée,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,0,0,Unknown,50.4263301,4.126294247491478
Belgoo Luppoo,Blonde dorée,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,0,0,Unknown,50.4263301,4.126294247491478
Bella Mère,Blonde,0,Brasserie Millevertus,Tintigny,Luxembourg,Unknown,3,5150,"Bière blonde houblonnée.

Nez légèrement houblonné, couleur blonde, attaque d’amertume légère, développement en bouche bien long sur le fruit genre ananas, houblonnages bien en équilibre entre l’amertume et l’arômatique ressentis.",49.6952272,5.4924175
Belle Cies,Blonde,0,Huisebrouwerij Den Tseut,Oosteklo,West Flanders,Unknown,3,271,Unknown,Unknown,Unknown
Belle-Fleur,India Pale Ale,0,Brasserie De Dochter van de Korenaar,Baerle-Duc,Antwerp,Unknown,3,41857,"Light blonde, intensly hopped beer with dry-hopping, 6% vol.

Belle Fleur is a fresh, hoppy and thirst-quenching beer, with pronounced citrus / floral flavors. A bitter and aromatic beer for the enthusiast who is looking for the rich smell and taste of fresh hops. In terms of alcohol it is a lighter version of this beer style that is growing strongly in popularity. Very accessible and tasty, delicious on a sunny terrace.

Fine as an aperitif or with spicy food.",51.4383589,4.9316995
Belle Pin-Up,Blonde,0,Brasserie de Bellevaux,Malmedy,Liege,Unknown,0,11,"An ideal companion for sunny pre-dinner drinks & warm nights, the Belle Pin-Up,is a light, turbid beer made with raw wheat made for connaiseurs.",50.39129115,6.008729076521822
Belle-Vue Framboise,Fruitée,0,Brasserie Belle-Vue,Leeuw-Saint-Pierre,Flemish Brabant,AB InBev,0,0,Unknown,51.18704715,5.118139455165353
Belle-Vue Extra Framboise,Fruitée,0,Brasserie Belle-Vue,Leeuw-Saint-Pierre,Flemish Brabant,AB InBev,0,0,Unknown,51.18704715,5.118139455165353
Belle-Vue Kriek,Kriek,0,Brasserie Belle-Vue,Leeuw-Saint-Pierre,Flemish Brabant,AB InBev,0,0,Unknown,51.18704715,5.118139455165353
Belle-Vue Kriek Classique,Kriek,0,Brasserie Belle-Vue,Leeuw-Saint-Pierre,Flemish Brabant,AB InBev,0,0,Unknown,51.18704715,5.118139455165353
Belle-Vue Extra Kriek,Kriek,0,Brasserie Belle-Vue,Leeuw-Saint-Pierre,Flemish Brabant,AB InBev,0,0,Unknown,51.18704715,5.118139455165353
Belle-Vue Gueuze,Lambic,0,Brasserie Belle-Vue,Leeuw-Saint-Pierre,Flemish Brabant,AB InBev,0,0,Unknown,51.18704715,5.118139455165353
Belle-Vue LA,Unknown,0,Brasserie Belle-Vue,Leeuw-Saint-Pierre,Flemish Brabant,AB InBev,3,95874,Unknown,51.18704715,5.118139455165353
Bellebière Amber,Ambrée,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,0,0,Unknown,53.7435722,-0.3394758
Bellebière Dubbel,Brune,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,203,Een mooi zacht en smaakvol donker bier speciaal gebrouwen voor de Belleman Dommelen en Café de Bel Valkenswaard,53.7435722,-0.3394758
Bellebière Trippel,Triple,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,15,Unknown,53.7435722,-0.3394758
Bellegems Bruin,Vieille brune,0,Brasserie Boon,Hal,Flemish Brabant,Unknown,0,0,Unknown,53.7435722,-0.3394758
Bellegems Witbier,Blanche,0,Brasserie Boon,Hal,Flemish Brabant,Unknown,3,5049,"Bellegems Witbier is made by the traditional recipe of a white beer: a perfect harmony between barley and wheat. The wheat gives the beer its light colour. While cooking the wort, hops and specific herbs are added. After the cooking process, the sterile wort is being cooled and fresh yiest is added. The high fermentation is the base of the fruityness in the whitebeer and the spicy aroma's result in its fresh character.

After fermentation the beer is lagered and matured. This is to not lose the cloudyness in the beer. After that the beer is not filtered but suger and fresh yiest is added to be filled in bottles. For 2 weeks, the beer has to rest in hot chambers for the process of refermentation. The final smell and taste results from this process.",53.7435722,-0.3394758
Gageleer Original,Blonde,0,Gageleer,Oud-Turnhout,Antwerp,Unknown,3,28927,Gageleer is een Kempens volmoutbier van hoge gisting met het kenmerkende aroma van gagel (Myrica gale). Gagel is een struikje dat groeit op veenachtige gronden zoals in de natuurreservaten in de Kempen. Gagel was de voornaamste smaakmaker in de middeleeuwse gruitbieren (gruit = kruid). Gageleer is het eerste hedendaagse bier waarin gagel opnieuw wordt gebruikt. Gageleer wordt op de markt gebracht door de gelijknamige coöperatieve ten voordele van het behoud van de natuur.,51.3178319,4.9817086
Berentemmer,Brune,0,Brasserie Maenhout,Meulebeke,West Flanders,Unknown,3,108,Unknown,50.9498382,3.2888527
Bersalis Tripel,"Blonde, Fermentation haute, Triple",0,Brasserie Huyghe,Melle,East Flanders,Unknown,3,30435,Bersalis Tripel is a blond triple with firm character. The full body taste of wheat malt evolves during drinking from a fruity-bitter flavour to a round sweet taste. Its spices leave a nice feeling in the mouth.,44.5620476,7.32049
Bersalis Kadet,Blonde,0,Brasserie Huyghe,Melle,East Flanders,Unknown,3,7776,Bersalis Kadet is a light and refreshing top fermented beer full of flavour. The noble taste of barley malt is crowned with fruity touches and a hoppy character. Described as a low-alcohol tripel on the label.,44.5620476,7.32049
Bertinchamps Blonde,Blonde,0,Brasserie de Bertinchamps,Gembloux,Namur,Unknown,0,0,Unknown,50.5576069,4.641485168265216
Bertinchamps Brune,Brune,0,Brasserie de Bertinchamps,Gembloux,Namur,Unknown,3,58747,"Brasserie familiale indépendante située à Gembloux, en Belgique. // Independent family brewery in Gembloux, Belgium.",50.5576069,4.641485168265216
Bertinchamps Triple,Triple,0,Brasserie de Bertinchamps,Gembloux,Namur,Unknown,0,0,Unknown,50.5576069,4.641485168265216
Betchard Brune,Brune,0,Brasserie de Tubize,Tubize,Walloon Brabant,Unknown,3,186,Unknown,50.6959512,4.206305106273191
Betchard Blonde,Blonde,0,Brasserie de Tubize,Tubize,Walloon Brabant,Unknown,3,412,Unknown,50.6959512,4.206305106273191
Bieken,Blonde,0,Brasserie Boelens,Saint-Nicolas,East Flanders,Unknown,3,7386,Unknown,50.3022047,2.7767966
Bierbeekse,"Blonde-ambrée, Fermentation haute",0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,1102,Unknown,53.7435722,-0.3394758
Bierbuik,Brune,0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,3,665,Voor de naam van ons eerste bier zochten wij iets wat we overeenkomen. Het werd 'Groot Geschapen'. Inmiddels zijn we bijna vijf jaar en vele bieren verder en zijn onze overeenkomsten uitgebreid. Hierbij onze nieuwe trots; de Bierbuik. Een stevig blond bier. Eén om eens lekker voor te gaan zitten en van te genieten. Hou 'm niet meer in en draag hem met trots. Zum wohl!,51.1152543,3.8160967304356808
Bière Darbyste,Ambrée,0,Brasserie de Blaugies,Dour,Hainaut,Unknown,3,11108,"A variant of the Belgian “Wit” or “Blanche” style, but a little drier and considerably more flavorful, Darbyste is a saison made with wheat and fermented with fig juice. Cloudy and medium amber in color, it offers fruity aromas with lots of tartness and funkiness. Not surprisingly, the aroma smacks of figs, with notes of raisin, pear and red grapes rounding things out. Some brown sugar on the nose as well. On the palate, things get quite interesting.",50.3582547,3.8436693
Bière de Beloeil,Fermentation haute,0,Brasserie Dupont,Leuze-en-Hainaut,Hainaut,Unknown,3,5010,"One of Belgium’s most historic castles is a few miles from Dupont. Belœil once housed a brewery on site and made a beer called Saison Roland. Belœil has a rich white meringue head and a beautiful hazy amber red color. The funky Dupont yeast announces itself but is laced with herbs, nectarine, and a mineral edge. The warming finish has notes of wood and spice. Bottle-conditioned. Introduced to the US market in 2011.",50.8641522,5.8326197
Bière de Garde,"Bio, Rouge-brune",0,De Proefbrouwerij,Lochristi,East Flanders,Unknown,0,0,Unknown,51.1152543,3.8160967304356808
Bière de Miel Bio,"Bio, Bière au miel",0,Brasserie Dupont,Leuze-en-Hainaut,Hainaut,Unknown,3,18372,"Bière de Miel is made with acacia honey famed in Belgium for its floral delicacy. Bière de Miel is pale golden, with a beautiful aroma of honeycomb accented by orange and citrus notes. The richness coaxes the palate into thinking the beer is sweet—but the finish is close to bone dry with a noticeable hop tang. The Dupont Brewery first made this beer in the 1880's, the style went dormant, then was revived in 1997 by brewer Olivier DeDeycker. We love this with mild fish dishes, and a cheese plate with dried fruit and nuts.",50.8641522,5.8326197
Bière des Ours (Berenbière),Bière au miel,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,0,0,Unknown,50.4263301,4.126294247491478
Bière du Corsaire Cuvée Spéciale,Blonde,0,Brasserie Huyghe,Melle,East Flanders,Unknown,0,0,Unknown,44.5620476,7.32049
Bière du Mont Saint-Aubert,Blonde,0,Brasserie de Brunehaut,Brunehaut,Hainaut,Unknown,3,211,Unknown,50.50983,3.387649619910512
Bière Spéciale Belge,Spéciale,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,0,0,Unknown,50.4263301,4.126294247491478
Big Bavik,Blonde,0,Brasserie Bobbi,Haut-Ittre,Walloon Brabant,Unknown,0,0,Unknown,50.6488039,4.296471951359066
Big Chouffe,Blonde,0,Brasserie d'Achouffe,Houffalize,Luxembourg,Duvel Moortgat,0,0,Unknown,50.15096665,5.745850863614394
Bierpruver Dubbel Bruin,Double,0,Huisbrouwerij de 3 vaten,Vlaams Gewest,Antwerp,Unknown,3,22,Unknown,51.0962462,4.178629103169916
